equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0205,1,trees_normal,3,trees_normal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0206,1,trees_normal_diffspec,3,trees_normal_diffspec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0207,1,trees_normal_diffspec_tnt,3,trees_normal_diffspec_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0208,1,trees_normal_spec,3,trees_normal_spec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0209,1,trees_normal_spec_tnt,3,trees_normal_spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0210,1,trees_shadow_proxy,3,trees_shadow_proxy.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0211,1,trees_tnt,3,trees_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0212,1,vehicle_badges,1,vehicle_badges.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0213,1,vehicle_basic,0,vehicle_basic.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0214,1,vehicle_blurredrotor,1,vehicle_blurredrotor.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0215,1,vehicle_blurredrotor_emissive,1,vehicle_blurredrotor_emissive.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0216,1,vehicle_cloth,0,vehicle_cloth.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0217,1,vehicle_cloth2,0,vehicle_cloth2.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0218,1,vehicle_cutout,3,vehicle_cutout.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0219,1,vehicle_dash_emissive,1,vehicle_dash_emissive.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0220,1,vehicle_dash_emissive_opaque,0,vehicle_dash_emissive_opaque.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0221,1,vehicle_decal,1,vehicle_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0222,1,vehicle_decal2,2,vehicle_decal2.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0223,1,vehicle_detail,0,vehicle_detail.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0224,1,vehicle_detail2,0,vehicle_detail2.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0225,1,vehicle_emissive_alpha,1,vehicle_emissive_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0226,1,vehicle_emissive_opaque,0,vehicle_emissive_opaque.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0227,1,vehicle_generic,0,vehicle_generic.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0228,1,vehicle_interior,0,vehicle_interior.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0229,1,vehicle_interior2,0,vehicle_interior2.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0230,1,vehicle_licenseplate,0,vehicle_licenseplate.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0231,2,vehicle_vehglass,1,vehicle_lights.sps | vehicle_vehglass.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0232,1,vehicle_lightsemissive,1,vehicle_lightsemissive.sps,"same base shader, render bucket, parameters and layouts"
